#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
NDECC SJ — describe the clinical scenario / patient profile for: <b>Mmm6 sjogren syndrome</b>	<b>Name:</b> Mr. James Bridge (referred to as "Mr. Britt" in the case) - <b>Age:</b> 66 years old - <b>Medical History:</b> Sjögren's Syndrome (diagnosed 19 months ago) - <b>Chief Dental Findings:</b> Xerostomia + Multiple Root Carious Lesions	NDECC_SJ::Mmm6_sjogren_syndrome NDECC_SJ
<b>Mmm6 sjogren syndrome</b> — would the following be appropriate, or a critical error?<br><br><i>“Do <b>not</b> assume the patient has dentures — 66-year-old may have a full natural dentition; ask first, then address if confirmed”</i>	<b>Critical error / Avoid this.</b><br><br>Do <b>not</b> assume the patient has dentures — 66-year-old may have a full natural dentition; ask first, then address if confirmed	NDECC_SJ::Mmm6_sjogren_syndrome NDECC_SJ
<b>Mmm6 sjogren syndrome</b> — would the following be appropriate, or a critical error?<br><br><i>“Do <b>not</b> connect dry mouth directly to candidiasis without immunosuppression evidence present in the prompt”</i>	<b>Critical error / Avoid this.</b><br><br>Do <b>not</b> connect dry mouth directly to candidiasis without immunosuppression evidence present in the prompt	NDECC_SJ::Mmm6_sjogren_syndrome NDECC_SJ
<b>Mmm6 sjogren syndrome</b> — would the following be appropriate, or a critical error?<br><br><i>“Do <b>not</b> use alcohol-containing mouthrinses”</i>	<b>Critical error / Avoid this.</b><br><br>Do <b>not</b> use alcohol-containing mouthrinses	NDECC_SJ::Mmm6_sjogren_syndrome NDECC_SJ
<b>Mmm6 sjogren syndrome</b> — list the key points for: <i>D. Prescription Sialogogues (If Non-Pharmacological Fails)</i>	<ul><li>Refer to physician for prescription salivary-inducing medications</li><li>Recommended agents: <b>Pilocarpine</b> or <b>Cevimeline</b> (cholinergic agonists)</li><li>Dentist does <b>not</b> prescribe these — but should <b>recommend a physician consult</b> if OTC strategies are insufficient</li></ul>	NDECC_SJ::Mmm6_sjogren_syndrome NDECC_SJ
<b>Mmm6 sjogren syndrome</b> — list the key points for: <i>C. Fluoride Varnish (Professional Application)</i>	<ul><li><b>High-concentration fluoride varnish</b> (22,500 ppm NaF) applied every <b>1–3 months</b> at recall appointments</li><li>Provides sustained fluoride release directly to vulnerable root surfaces</li></ul>	NDECC_SJ::Mmm6_sjogren_syndrome NDECC_SJ
<b>Mmm6 sjogren syndrome</b> — list the key points for: <i>E. Regular Recall Appointments</i>	<ul><li>Shortened recall intervals (every 3 months) for early detection and re-evaluation</li><li>Active monitoring of existing root carious lesions for progression</li></ul>	NDECC_SJ::Mmm6_sjogren_syndrome NDECC_SJ
<b>Mmm6 sjogren syndrome</b> — give details for Priority: <i><b>1st choice</b></i>	<b>Material:</b> <b>RMGIC</b> (Resin-Modified Glass Ionomer Cement)<br><b>When to Use:</b> When adequate moisture control is achievable; evidence-based, better prognosis	NDECC_SJ::Mmm6_sjogren_syndrome NDECC_SJ
<b>Mmm6 sjogren syndrome</b> — give details for Problem: <i>Xerostomia</i>	<b>Preventive Measure:</b> Frequent water sips, humidifier<br><b>Key Detail:</b> Lifestyle modification	NDECC_SJ::Mmm6_sjogren_syndrome NDECC_SJ
NDECC SJ — describe the clinical scenario / patient profile for: <b>Mmm6 phone call patient pain</b>	A regular patient calls you by phone from a different part of the same province where you both live and practice. You are still their dentist; they still fall under your care. The call is a regular phone call — <b>not</b> an encrypted virtual platform. The core challenge: you cannot diagnose or treat over a phone call, but you still have a professional duty to respond appropriately.	NDECC_SJ::Mmm6_phone_call_patient_pain NDECC_SJ
<b>Mmm6 phone call patient pain</b> — would the following be appropriate, or a critical error?<br><br><i>“Slamming down the phone or ignoring the call”</i>	<b>Critical error / Avoid this.</b><br><br>Slamming down the phone or ignoring the call	NDECC_SJ::Mmm6_phone_call_patient_pain NDECC_SJ
<b>Mmm6 phone call patient pain</b> — would the following be appropriate, or a critical error?<br><br><i>“Prescribing antibiotics or opioids (e.g., T3s) without an intraoral examination and diagnosis”</i>	<b>Critical error / Avoid this.</b><br><br>Prescribing antibiotics or opioids (e.g., T3s) without an intraoral examination and diagnosis	NDECC_SJ::Mmm6_phone_call_patient_pain NDECC_SJ
<b>Mmm6 phone call patient pain</b> — would the following be appropriate, or a critical error?<br><br><i>“Advising a virtual consultation over an unapproved/non-encrypted platform (WhatsApp, Messenger, etc.)”</i>	<b>Critical error / Avoid this.</b><br><br>Advising a virtual consultation over an unapproved/non-encrypted platform (WhatsApp, Messenger, etc.)	NDECC_SJ::Mmm6_phone_call_patient_pain NDECC_SJ
<b>Mmm6 phone call patient pain</b> — list the key points for: <i>Documentation — Critical Step</i>	<ul><li>Time and nature of the call</li><li>Symptoms reported by the patient</li><li>History taken and triage outcome</li><li>Advice given (including any OTC recommendation)</li><li>Whether patient was referred to a nearby dentist or advised to come to your clinic</li><li>Patient's agreement/response</li></ul>	NDECC_SJ::Mmm6_phone_call_patient_pain NDECC_SJ
<b>Mmm6 phone call patient pain</b> — list the key points for: <i>If a Virtual Consultation Is Considered</i>	<ul><li>No WhatsApp, Messenger, FaceTime, Zoom (general), or any unapproved channel</li><li>Use only certified, secure virtual platforms</li><li>Even with a proper virtual consult, <b>treatment still cannot be provided remotely</b> — the patient will still need an in-person visit to a dentist</li></ul>	NDECC_SJ::Mmm6_phone_call_patient_pain NDECC_SJ
